,Title,Studio_Abbreviation,Worldwide_Gross,Domestic_Gross,Domestic_Share,Overseas_Gross,Overseas_Share,Year_x,Genre,IMDB_Score,Metascore,Votes,Subgenre1,Subgrene2,Subgrene3
669,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,415.7,104.4,25.1,311.3,74.9,2010,"Adventure, Family, Fantasy",6.3,53,127911,Adventure, Family, Fantasy
670,The King's Speech,Wein.,410.9,135.5,33,275.4,67,2010,"Biography, Drama, History",8,88,588213,Biography, Drama, History
671,The Karate Kid,Sony,359.1,176.6,49.2,182.5,50.8,2010,"Action, Drama, Family",6.2,61,144626,Action, Drama, Family
672,Prince of Persia: The S&s of Time,BV,336.4,90.8,27,245.6,73,2010,"Action, Adventure, Fantasy",6.6,50,252430,Action, Adventure, Fantasy
673,Black Swan,FoxS,329.4,107,32.5,222.4,67.5,2010,"Drama, Thriller",8,79,642550,Drama, Thriller,
674,Megamind,P/DW,321.9,148.4,46.1,173.5,53.9,2010,"Animation, Action, Comedy",7.3,63,205165,Animation, Action, Comedy
675,Robin Hood,Uni.,321.7,105.3,32.7,216.4,67.3,2010,"Action, Adventure, Drama",6.7,53,237862,Action, Adventure, Drama
676,Robin Hood,Uni.,321.7,105.3,32.7,216.4,67.3,2010,"Action, Adventure, Thriller",5.3,32,34771,Action, Adventure, Thriller
677,The Last Airbender,Par.,319.7,131.8,41.2,187.9,58.8,2010,"Action, Adventure, Family",4.1,20,136572,Action, Adventure, Family
678,Little Fockers,Uni.,310.7,148.4,47.8,162.2,52.2,2010,"Comedy, Romance",5.5,27,98374,Comedy, Romance,
679,Resident Evil: Afterlife,SGem,300.2,60.1,20,240.1,80,2010,"Action, Adventure, Horror",5.9,37,152035,Action, Adventure, Horror
680,Shutter Isl&,Par.,294.8,128,43.4,166.8,56.6,2010,"Mystery, Thriller",8.1,63,991173,Mystery, Thriller,
681,Salt,Sony,293.5,118.3,40.3,175.2,59.7,2010,"Action, Mystery, Thriller",6.4,65,275423,Action, Mystery, Thriller
682,Sex & the City 2,WB (NL),288.3,95.3,33.1,193,66.9,2010,"Comedy, Drama, Romance",4.4,27,68539,Comedy, Drama, Romance
683,The Tourist,Sony,278.3,67.6,24.3,210.7,75.7,2010,"Action, Adventure, Thriller",6,37,204991,Action, Adventure, Thriller
684,The Expendables,LGF,274.5,103.1,37.6,171.4,62.4,2010,"Action, Adventure, Thriller",6.5,45,305568,Action, Adventure, Thriller
685,Grown Ups,Sony,271.4,162,59.7,109.4,40.3,2010,Comedy,6,30,208430,Comedy,,
686,Knight & Day,Fox,261.9,76.4,29.2,185.5,70.8,2010,"Action, Adventure, Comedy",6.3,46,168759,Action, Adventure, Comedy
687,True Grit,Par.,252.3,171.2,67.9,81,32.1,2010,"Adventure, Drama, Western",7.6,80,281311,Adventure, Drama, Western
688,Gulliver's Travels,Fox,237.4,42.8,18,194.6,82,2010,"Adventure, Comedy, Family",4.9,33,60586,Adventure, Comedy, Family
689,The Social Network,Sony,224.9,97,43.1,128,56.9,2010,"Biography, Drama",7.7,95,563755,Biography, Drama,
690,Valentine's Day,WB (NL),216.5,110.5,51,106,49,2010,"Comedy, Romance",5.7,34,106470,Comedy, Romance,
691,The Sorcerer's Apprentice,BV,215.3,63.2,29.3,152.1,70.7,2010,"Action, Adventure, Family",6.1,46,142693,Action, Adventure, Family
692,Due Date,WB,211.8,100.5,47.5,111.2,52.5,2010,"Adventure, Comedy",6.5,51,301081,Adventure, Comedy,
693,Eat Pray Love,Sony,204.6,80.6,39.4,124,60.6,2010,"Drama, Romance",5.8,50,76643,Drama, Romance,
694,Yogi Bear,WB,201.6,100.2,49.7,101.3,50.3,2010,"Animation, Adventure, Comedy",4.6,35,18783,Animation, Adventure, Comedy
695,Paranormal Activity 2,Par.,177.5,84.8,47.7,92.8,52.3,2010,Horror,5.7,53,92423,Horror,,
696,The A-Team,Fox,177.2,77.2,43.6,100,56.4,2010,"Action, Adventure, Comedy",6.8,47,233850,Action, Adventure, Comedy
697,The Other Guys,Sony,170.4,119.2,70,51.2,30,2010,"Action, Comedy, Crime",6.7,64,219495,Action, Comedy, Crime
698,Unstoppable,Fox,167.8,81.6,48.6,86.2,51.4,2010,"Action, Thriller",6.8,69,171627,Action, Thriller,
699,The Book of Eli,WB,157.1,94.8,60.4,62.3,39.6,2010,"Action, Adventure, Drama",6.9,53,268547,Action, Adventure, Drama
700,The Town,WB,154,92.2,59.9,61.8,40.1,2010,"Crime, Drama, Thriller",7.6,74,319824,Crime, Drama, Thriller
701,Date Night,Fox,152.3,98.7,64.8,53.6,35.2,2010,"Comedy, Crime, Romance",6.3,56,143633,Comedy, Crime, Romance
702,Legend of the Guardians: The Owls of Ga'Hoole,WB,140.1,55.7,39.7,84.4,60.3,2010,"Animation, Action, Adventure",7,53,73339,Animation, Action, Adventure
703,The Wolfman,Uni.,139.8,62,44.3,77.8,55.7,2010,"Drama, Fantasy, Horror",5.8,43,97235,Drama, Fantasy, Horror
704,The Bounty Hunter,Sony,136.3,67.1,49.2,69.3,50.8,2010,"Action, Comedy, Romance",5.6,22,111467,Action, Comedy, Romance
705,Wall Street: Money Never Sleeps,Fox,134.7,52.5,38.9,82.3,61.1,2010,Drama,6.2,59,92965,Drama,,
706,The Fighter,Par.,129.2,93.6,72.5,35.6,27.5,2010,"Biography, Drama, Sport",7.8,79,314131,Biography, Drama, Sport
707,Predators,Fox,127.2,52,40.9,75.2,59.1,2010,"Action, Adventure, Sci-Fi",6.4,51,197958,Action, Adventure, Sci-Fi
708,Dear John,SGem,115,80,69.6,35,30.4,2010,"Drama, Romance, War",6.3,43,127220,Drama, Romance, War
709,Cats & Dogs: The Revenge of Kitty Galore,WB,112.5,43.6,38.7,68.9,61.3,2010,"Action, Comedy, Family",4.3,30,12469,Action, Comedy, Family
710,Tooth Fairy,Fox,112.5,60,53.4,52.4,46.6,2010,"Comedy, Family, Fantasy",5,36,37391,Comedy, Family, Fantasy
711,Life as We Know It,WB,105.6,53.4,50.5,52.3,49.5,2010,"Comedy, Drama, Romance",6.6,39,111980,Comedy, Drama, Romance
712,Hereafter,WB,105.2,32.7,31.1,72.5,68.9,2010,"Drama, Fantasy, Romance",6.5,56,86885,Drama, Fantasy, Romance
713,The Girl with the Dragon Tattoo,MBox,104.4,10.1,9.7,94.3,90.3,2010,"Crime, Drama, Mystery",7.8,71,384407,Crime, Drama, Mystery
714,Love & Other Drugs,Fox,102.8,32.4,31.5,70.5,68.5,2010,"Comedy, Drama, Romance",6.7,55,166086,Comedy, Drama, Romance
715,Killers,LGF,98.2,47.1,47.9,51.1,52.1,2010,"Action, Comedy, Romance",5.4,21,81715,Action, Comedy, Romance
716,Kick-Ass,LGF,96.2,48.1,50,48.1,50,2010,"Action, Comedy",7.6,66,493151,Action, Comedy,
717,Green Zone,Uni.,94.9,35.1,36.9,59.8,63.1,2010,"Action, Drama, Thriller",6.8,63,121542,Action, Drama, Thriller
718,Nanny McPhee Returns,Uni.,93.3,29,31.1,64.2,68.9,2010,"Comedy, Family, Fantasy",6.1,52,24643,Comedy, Family, Fantasy
719,Get Him to the Greek,Uni.,91.3,61,66.8,30.3,33.2,2010,"Adventure, Comedy, Music",6.4,65,160788,Adventure, Comedy, Music
720,Burlesque,SGem,89.5,39.4,44.1,50.1,55.9,2010,"Drama, Music, Musical",6.4,47,70308,Drama, Music, Musical
721,The Last Song,BV,89,63,70.7,26.1,29.3,2010,"Drama, Music, Romance",5.9,33,73839,Drama, Music, Romance
722,Dinner for Schmucks,P/DW,86.9,73,84.1,13.8,15.9,2010,Comedy,5.9,56,90679,Comedy,,
723,Marmaduke,Fox,83.8,33.6,40.2,50.1,59.8,2010,"Comedy, Family",4.2,30,13177,Comedy, Family,
724,Piranha 3D,W/Dim.,83.2,25,30.1,58.2,69.9,2010,"Comedy, Horror",5.4,53,80830,Comedy, Horror,
725,Edge of Darkness,WB,81.1,43.3,53.4,37.8,46.6,2010,"Crime, Drama, Mystery",6.6,55,84198,Crime, Drama, Mystery
726,Vampires Suck,Fox,80.5,36.7,45.5,43.9,54.5,2010,Comedy,3.4,18,43667,Comedy,,
727,Letters to Juliet,Sum.,79.2,53,67,26.1,33,2010,"Adventure, Comedy, Drama",6.6,50,85478,Adventure, Comedy, Drama
728,Diary of a Wimpy Kid,Fox,75.7,64,84.5,11.7,15.5,2010,"Comedy, Drama, Family",6.2,56,38144,Comedy, Drama, Family
729,Easy A,SGem,75,58.4,77.9,16.6,22.1,2010,"Comedy, Drama, Romance",7.1,72,326808,Comedy, Drama, Romance
730,Takers,SGem,69.1,57.7,83.6,11.3,16.4,2010,"Action, Crime, Thriller",6.2,45,52949,Action, Crime, Thriller
731,The American,Focus,67.9,35.6,52.5,32.3,47.5,2010,"Crime, Drama, Thriller",6.3,61,86407,Crime, Drama, Thriller
732,The Last Exorcism,LGF,67.7,41,60.6,26.7,39.4,2010,"Drama, Horror, Thriller",5.6,63,45602,Drama, Horror, Thriller
733,Hot Tub Time Machine,MGM,64.6,50.3,77.9,14.3,22.1,2010,"Comedy, Sci-Fi",6.4,63,153017,Comedy, Sci-Fi,
734,Devil,Uni.,62.7,33.6,53.6,29.1,46.4,2010,"Horror, Mystery, Thriller",6.2,44,121172,Horror, Mystery, Thriller
735,Secretariat,BV,60.3,59.7,99.1,537,0.9,2010,"Biography, Drama, Family",7.2,61,24277,Biography, Drama, Family
736,Morning Glory,Par.,60,31,51.7,29,48.3,2010,"Comedy, Drama, Romance",6.5,57,66606,Comedy, Drama, Romance
737,Cop Out,WB,55.6,44.9,80.7,10.7,19.3,2010,"Action, Comedy, Crime",5.6,31,81208,Action, Comedy, Crime
738,The Crazies,Over.,54.8,39.1,71.4,15.7,28.6,2010,"Horror, Thriller",6.5,55,103675,Horror, Thriller,
739,From Paris with Love,LGF,52.8,24.1,45.6,28.7,54.4,2010,"Action, Crime, Thriller",6.5,42,106519,Action, Crime, Thriller
740,Daybreakers,LGF,51.4,30.1,58.5,21.3,41.5,2010,"Action, Fantasy, Horror",6.5,57,116025,Action, Fantasy, Horror
741,Alpha & Omega,LGF,50.5,25.1,49.7,25.4,50.3,2010,"Animation, Adventure, Comedy",5.3,36,12358,Animation, Adventure, Comedy
742,The Switch,Mira.,49.8,27.8,55.7,22.1,44.3,2010,"Comedy, Drama, Romance",6.1,52,89925,Comedy, Drama, Romance
743,She's Out of My League,Par.,49.8,32,64.3,17.8,35.7,2010,"Comedy, Romance",6.4,46,116275,Comedy, Romance,
744,How Do You Know,Sony,48.7,30.2,62.1,18.5,37.9,2010,"Comedy, Drama, Romance",5.4,46,40664,Comedy, Drama, Romance
745,Charlie St. Cloud,Uni.,48.2,31.2,64.7,17,35.3,2010,"Drama, Fantasy, Romance",6.5,37,54508,Drama, Fantasy, Romance
746,Scott Pilgrim vs. the World,Uni.,47.7,31.5,66.1,16.1,33.9,2010,"Action, Comedy, Fantasy",7.5,69,334944,Action, Comedy, Fantasy
747,The Spy Next Door,LGF,45.2,24.3,53.7,20.9,46.3,2010,"Action, Comedy, Family",5.5,27,36353,Action, Comedy, Family
748,Machete,Fox,44.1,26.6,60.3,17.5,39.7,2010,"Action, Crime, Thriller",6.6,60,181280,Action, Crime, Thriller
749,When in Rome,BV,43,32.7,75.9,10.4,24.1,2010,"Comedy, Romance",5.6,25,57032,Comedy, Romance,
750,For Colored Girls,LGF,37.7,37.7,100,17.3,0,2010,Drama,6.1,50,6681,Drama,,
751,Brooklyn's Finest,Over.,36.4,27.2,74.5,9.3,25.5,2010,"Crime, Drama, Thriller",6.7,43,57662,Crime, Drama, Thriller
752,Leap Year,Uni.,32.6,25.9,79.5,6.7,20.5,2010,"Comedy, Romance",6.5,33,85211,Comedy, Romance,
753,You Again,BV,32,25.7,80.3,6.3,19.7,2010,"Comedy, Family, Romance",5.8,28,46398,Comedy, Family, Romance
754,The Losers,WB,29.4,23.6,80.3,5.8,19.7,2010,"Action, Adventure, Crime",6.4,44,83091,Action, Adventure, Crime
755,Ramona & Beezus,Fox,27.3,26.2,95.9,1.1,4.1,2010,"Adventure, Comedy, Family",6.6,56,15932,Adventure, Comedy, Family
756,The Girl on the Train,Strand,305,208,68.2,97.1,31.8,2010,"Crime, Drama, Mystery",6.5,48,148219,Crime, Drama, Mystery
757,Avatar,Fox,2777.2,749.8,27,2027.5,73,2009,"Action, Adventure, Fantasy",7.8,83,1032375,Action, Adventure, Fantasy
758,Harry Potter & the Half-Blood Prince,WB,934.4,302,32.3,632.5,67.7,2009,"Adventure, Family, Fantasy",7.6,78,412448,Adventure, Family, Fantasy
759,Ice Age: Dawn of the Dinosaurs,Fox,886.7,196.6,22.2,690.1,77.8,2009,"Animation, Action, Adventure",7,50,201063,Animation, Action, Adventure
760,Transformers: Revenge of the Fallen,P/DW,836.3,402.1,48.1,434.2,51.9,2009,"Action, Adventure, Sci-Fi",6,35,362257,Action, Adventure, Sci-Fi
761,2012,Sony,769.7,166.1,21.6,603.6,78.4,2009,"Action, Adventure, Sci-Fi",5.8,49,325101,Action, Adventure, Sci-Fi
762,Up,BV,735.1,293,39.9,442.1,60.1,2009,"Animation, Adventure, Comedy",8.3,88,832824,Animation, Adventure, Comedy
763,The Twilight Saga: New Moon,Sum.,709.7,296.6,41.8,413.1,58.2,2009,"Adventure, Drama, Fantasy",4.7,44,246587,Adventure, Drama, Fantasy
764,Sherlock Holmes,WB,524,209,39.9,315,60.1,2009,"Action, Adventure, Crime",7.6,57,544063,Action, Adventure, Crime
765,Angels & Demons,Sony,485.9,133.4,27.4,352.6,72.6,2009,"Mystery, Thriller",6.7,48,250104,Mystery, Thriller,
766,The Hangover,WB,467.5,277.3,59.3,190.2,40.7,2009,Comedy,7.7,73,663903,Comedy,,
767,Alvin & the Chipmunks: The Squeakquel,Fox,443.1,219.6,49.6,223.5,50.4,2009,"Animation, Comedy, Family",4.5,41,38589,Animation, Comedy, Family
768,Night at the Museum: Battle of the Smithsonian,Fox,413.1,177.2,42.9,235.9,57.1,2009,"Adventure, Comedy, Family",6,42,158854,Adventure, Comedy, Family
769,Star Trek,Par.,385.7,257.7,66.8,128,33.2,2009,"Action, Adventure, Sci-Fi",8,82,553886,Action, Adventure, Sci-Fi
770,X-Men Origins: Wolverine,Fox,373.1,179.9,48.2,193.2,51.8,2009,"Action, Adventure, Sci-Fi",6.6,40,431103,Action, Adventure, Sci-Fi
771,Terminator Salvation,WB,371.4,125.3,33.7,246,66.3,2009,"Action, Adventure, Sci-Fi",6.6,49,317885,Action, Adventure, Sci-Fi
772,Fast & Furious,Uni.,363.2,155.1,42.7,208.1,57.3,2009,"Action, Crime, Thriller",6.6,46,240014,Action, Crime, Thriller
773,Inglourious Basterds,Wein.,321.5,120.5,37.5,200.9,62.5,2009,"Adventure, Drama, War",8.3,69,1103144,Adventure, Drama, War
774,The Proposal,BV,317.4,164,51.7,153.4,48.3,2009,"Comedy, Drama, Romance",6.7,48,269696,Comedy, Drama, Romance
775,The Blind Side,WB,309.2,256,82.8,53.2,17.2,2009,"Biography, Drama, Sport",7.7,53,264410,Biography, Drama, Sport
776,G.I. Joe: The Rise of Cobra,Par.,302.5,150.2,49.7,152.3,50.3,2009,"Action, Adventure, Sci-Fi",5.8,32,190179,Action, Adventure, Sci-Fi
777,G-Force,BV,292.8,119.4,40.8,173.4,59.2,2009,"Animation, Action, Adventure",5.1,41,38689,Animation, Action, Adventure
778,The Princess & the Frog,BV,267,104.4,39.1,162.6,60.9,2009,"Animation, Adventure, Comedy",7.1,73,107684,Animation, Adventure, Comedy
779,Cloudy with a Chance of Meatballs,Sony,243,124.9,51.4,118.1,48.6,2009,"Animation, Action, Adventure",7,66,183930,Animation, Action, Adventure
780,It's Complicated,Uni.,219.1,112.7,51.5,106.4,48.5,2009,"Comedy, Drama, Romance",6.6,57,79865,Comedy, Drama, Romance
781,Public Enemies,Uni.,214.1,97.1,45.4,117,54.6,2009,"Biography, Crime, Drama",7,70,259755,Biography, Crime, Drama
782,District 9,TriS,210.8,115.6,54.9,95.2,45.1,2009,"Action, Sci-Fi, Thriller",7.9,81,599750,Action, Sci-Fi, Thriller
783,The Ugly Truth,Sony,205.3,88.9,43.3,116.4,56.7,2009,"Comedy, Romance",6.5,28,188354,Comedy, Romance,
784,The Final Destination,WB (NL),186.2,66.5,35.7,119.7,64.3,2009,Horror,5.2,30,88025,Horror,,
785,Watchmen,WB,185.3,107.5,58,77.7,42,2009,"Action, Drama, Mystery",7.6,56,450678,Action, Drama, Mystery
786,Knowing,Sum.,183.6,80,43.6,103.6,56.4,2009,"Action, Drama, Mystery",6.2,41,207586,Action, Drama, Mystery
787,He's Just Not That Into You,WB (NL),178.8,94,52.5,84.9,47.5,2009,"Comedy, Drama, Romance",6.4,47,148743,Comedy, Drama, Romance
788,Couples Retreat,Uni.,171.8,109.2,63.5,62.6,36.5,2009,Comedy,5.5,23,93989,Comedy,,
789,Up in the Air,Par.,166.8,83.8,50.2,83,49.8,2009,"Comedy, Drama, Romance",7.4,83,299068,Comedy, Drama, Romance
790,17 Again,WB (NL),136.3,64.2,47.1,72.1,52.9,2009,"Comedy, Drama, Fantasy",6.4,48,165607,Comedy, Drama, Fantasy
791,Julie & Julia,Sony,129.5,94.1,72.7,35.4,27.3,2009,"Biography, Drama, Romance",7,66,95447,Biography, Drama, Romance
792,Law Abiding Citizen,Over.,126.7,73.4,57.9,53.3,42.1,2009,"Crime, Drama, Thriller",7.4,34,250337,Crime, Drama, Thriller
793,Coraline,Focus,124.6,75.3,60.4,49.3,39.6,2009,"Animation, Drama, Fantasy",7.7,80,176927,Animation, Drama, Fantasy
794,Surrogates,BV,122.4,38.6,31.5,83.9,68.5,2009,"Action, Sci-Fi, Thriller",6.3,45,162665,Action, Sci-Fi, Thriller
795,Invictus,WB,122.2,37.5,30.7,84.7,69.3,2009,"Biography, Drama, History",7.3,74,139937,Biography, Drama, History
796,Hotel for Dogs,P/DW,117,73,62.4,44,37.6,2009,"Comedy, Family",5.4,51,19551,Comedy, Family,
797,Bride Wars,Fox,114.7,58.7,51.2,55.9,48.8,2009,"Comedy, Romance",5.5,24,93588,Comedy, Romance,
798,Confessions of a Shopaholic,BV,108.3,44.3,40.9,64.1,59.1,2009,"Comedy, Family, Romance",5.9,38,70393,Comedy, Family, Romance
799,Race to Witch Mountain,BV,106.4,67.2,63.1,39.2,36.9,2009,"Action, Adventure, Family",5.7,52,50591,Action, Adventure, Family
800,Planet 51,Sony,105.6,42.2,39.9,63.5,60.1,2009,"Animation, Adventure, Comedy",6.1,39,46950,Animation, Adventure, Comedy
801,Zombiel&,Sony,102.4,75.6,73.8,26.8,26.2,2009,"Adventure, Comedy, Horror",7.6,73,452871,Adventure, Comedy, Horror
802,Ghosts of Girlfriends Past,WB (NL),102.2,55.3,54,47,46,2009,"Comedy, Fantasy, Romance",5.8,34,77161,Comedy, Fantasy, Romance
803,The Time Traveler's Wife,WB (NL),101.3,63.4,62.6,37.9,37.4,2009,"Drama, Fantasy, Romance",7.1,47,131640,Drama, Fantasy, Romance
804,Where the Wild Things Are,WB,100.1,77.2,77.2,22.9,22.8,2009,"Adventure, Drama, Family",6.8,71,96011,Adventure, Drama, Family
805,Old Dogs,BV,96.8,49.5,51.2,47.3,48.8,2009,"Comedy, Family",5.4,19,34330,Comedy, Family,
806,My Sister's Keeper,WB (NL),95.7,49.2,51.4,46.5,48.6,2009,"Drama, Family",7.4,51,84412,Drama, Family,
807,The Lovely Bones,P/DW,93.6,44.1,47.1,49.5,52.9,2009,"Drama, Fantasy, Thriller",6.7,42,144383,Drama, Fantasy, Thriller
808,"I Love You, Man",P/DW,91.6,71.4,78,20.2,22,2009,"Comedy, Romance",7,70,184558,Comedy, Romance,
809,Underworld: Rise of the Lycans,SGem,91.4,45.8,50.1,45.6,49.9,2009,"Action, Adventure, Fantasy",6.6,44,140998,Action, Adventure, Fantasy
810,Drag Me to Hell,Uni.,90.8,42.1,46.3,48.7,53.7,2009,"Horror, Thriller",6.6,83,175958,Horror, Thriller,
811,State of Play,Uni.,87.8,37,42.2,50.8,57.8,2009,"Crime, Drama, Mystery",7.1,64,126203,Crime, Drama, Mystery
812,Did You Hear About the Morgans?,Sony,85.3,29.6,34.7,55.7,65.3,2009,"Comedy, Drama, Romance",4.8,27,34452,Comedy, Drama, Romance
813,Duplicity,Uni.,78.1,40.6,51.9,37.6,48.1,2009,"Comedy, Crime, Romance",6.2,69,45076,Comedy, Crime, Romance
814,The Haunting in Connecticut,LGF,77.5,55.4,71.4,22.1,28.6,2009,"Drama, Horror, Mystery",5.9,33,56177,Drama, Horror, Mystery
815,Orphan,WB,76.7,41.6,54.2,35.1,45.8,2009,"Horror, Mystery, Thriller",7,42,173389,Horror, Mystery, Thriller
816,The Pink Panther 2,Sony,75.9,35.9,47.3,40,52.7,2009,"Action, Adventure, Comedy",5.6,36,38763,Action, Adventure, Comedy
817,Obsessed,SGem,73.8,68.3,92.5,5.6,7.5,2009,"Drama, Romance, Thriller",4.9,25,26653,Drama, Romance, Thriller
818,Funny People,Uni.,71.6,51.9,72.4,19.7,27.6,2009,"Comedy, Drama",6.3,60,108532,Comedy, Drama,
819,The Men Who Stare at Goats,Over.,69,32.4,47,36.5,53,2009,"Comedy, War",6.2,54,120629,Comedy, War,
820,L& of the Lost,Uni.,68.8,49.4,71.9,19.3,28.1,2009,"Action, Adventure, Comedy",5.4,32,60043,Action, Adventure, Comedy
821,Saw VI,LGF,68.2,27.7,40.6,40.5,59.4,2009,"Horror, Mystery, Thriller",6,30,92368,Horror, Mystery, Thriller
822,Year One,Sony,62.4,43.3,69.5,19,30.5,2009,"Adventure, Comedy",4.9,34,85433,Adventure, Comedy,
823,Ninja Assassin,WB,61.6,38.1,61.9,23.5,38.1,2009,"Action, Thriller",6.4,34,64174,Action, Thriller,
824,(500) Days of Summer,FoxS,60.7,32.4,53.3,28.3,46.7,2009,"Comedy, Drama, Romance",7.7,76,437163,Comedy, Drama, Romance
825,The International,Sony,60.2,25.5,42.3,34.7,57.7,2009,"Action, Crime, Drama",6.5,52,86344,Action, Crime, Drama
826,Aliens in the Attic,Fox,57.9,25.2,43.5,32.7,56.5,2009,"Animation, Adventure, Comedy",5.4,42,19276,Animation, Adventure, Comedy
827,Push,Sum.,48.9,31.8,65.1,17,34.9,2009,"Action, Sci-Fi, Thriller",6.1,36,99926,Action, Sci-Fi, Thriller
828,9,Focus,48.4,31.7,65.6,16.7,34.4,2009,"Animation, Action, Adventure",7.1,60,124950,Animation, Action, Adventure
829,The Fourth Kind,Uni.,47.7,25.5,53.4,22.2,46.6,2009,"Mystery, Sci-Fi, Thriller",5.9,34,69563,Mystery, Sci-Fi, Thriller
830,Crazy Heart,FoxS,47.4,39.5,83.2,7.9,16.8,2009,"Drama, Music, Romance",7.3,83,78916,Drama, Music, Romance
831,Brothers,LGF,43.3,28.5,65.9,14.8,34.1,2009,"Drama, War",7.1,58,102151,Drama, War,
832,The Informant!,WB,41.8,33.3,79.8,8.5,20.2,2009,"Biography, Comedy, Crime",6.5,66,59684,Biography, Comedy, Crime
833,The Uninvited,P/DW,41.6,28.6,68.7,13,31.3,2009,"Drama, Horror, Mystery",6.4,43,71170,Drama, Horror, Mystery
834,All About Steve,Fox,40.1,33.9,84.4,6.2,15.6,2009,"Comedy, Romance",4.8,17,37338,Comedy, Romance,
835,The Soloist,P/DW,38.3,31.7,82.7,6.6,17.3,2009,"Biography, Drama, Music",6.7,61,48481,Biography, Drama, Music
836,Dance Flick,Par.,31.4,25.7,81.6,5.8,18.4,2009,"Action, Comedy, Music",3.5,40,11061,Action, Comedy, Music
837,Observe & Report,WB,27,24,89,3,11,2009,"Comedy, Crime, Drama",5.8,54,56506,Comedy, Crime, Drama
